TransactionID,CustomerID,CustomerName,Email,PhoneNumber,Address,City,State,ZipCode,Country,RegistrationDate,ProductID,Category,BrandName,Price,StockQuantity,Purchase Quantity,Discount,TotalAmount,DateOfPurchase,PaymentMethod,ReviewDate,Rating,ReviewTitle,ReviewText
1,144,Joe Hanson,gmatthews@gmail.com,2236298456,9545 Timothy Glens,Tinashire,CO,16019,USA,1/1/2023,1004,Smartphone,Luxora,796.21,164,3,33.17,2355.46,1/1/2024,Cryptocurrency,2/1/2024,2,Excellent,Really happy with the performance.
2,147,Eric Woods,garrett32@alvarado-davis.org,2762579857,8006 Wallace Views Apt. 294,Barneston,GA,24992,USA,1/2/2023,1002,Smartphone,PrimeElectro,249.7,54,4,45.37,953.43,1/2/2024,Credit Card,2/2/2024,1,Below Average,Terrible experience.
3,164,Randall Williams DDS,michaelmartinez@gmail.com,5569773473,7197 Andrea Ports,East Sherryborough,UT,97985,USA,1/3/2023,1007,Smartphone,EcoGear,991.15,36,4,34.98,3929.62,1/3/2024,Bank Transfer,2/3/2024,5,Below Average,Overall good performance but some issues.
4,167,Andrew Soto,ericajames@reed.com,3987416024,5966 Sandra Walk Suite 499,East Daniel,IN,97838,USA,1/4/2023,1005,Smartphone,Luxora,1291.25,88,4,42.24,5122.76,1/4/2024,Bank Transfer,2/4/2024,2,Excellent,Overall good performance but some issues.
5,167,Clinton Williams,atkinsgary@yahoo.com,2126202238,437 Nelson Field,East Samuelshire,VA,37758,USA,1/5/2023,1002,Smartphone,UrbanGoods,185.16,98,4,134.67,605.97,1/5/2024,Bank Transfer,2/5/2024,4,Excellent,Overall good performance but some issues.
6,109,Christopher Cameron,jessicakelley@black.com,3333421240,08890 Rice Plain,Wrightview,DE,98169,USA,1/6/2023,1008,Laptop,Luxora,1142.84,146,3,45.27,3383.25,1/6/2024,Debit Card,2/6/2024,1,Good,Not satisfied with the product.
7,183,Rita Johnson,crystal67@yahoo.com,6564624985,643 Johnson Fields,Charleschester,MS,22434,USA,1/7/2023,1005,Accessory,UrbanGoods,1050.81,29,3,176.29,2976.14,1/7/2024,Bank Transfer,2/7/2024,3,Excellent,Terrible experience.
8,121,Jennifer Evans,matthewsmichael@graham.biz,6555674150,238 Edwards Pines,South Michelleburgh,KS,85110,USA,1/8/2023,1006,Accessory,EcoGear,1306.66,129,4,28.3,5198.34,1/8/2024,PayPal,2/8/2024,2,Excellent,Really happy with the performance.
9,136,Benjamin Blair,kelly73@hotmail.com,3893566897,265 Martin Hill Suite 644,Bruceburgh,IN,85159,USA,1/9/2023,1006,Laptop,Luxora,200.93,69,1,197.8,3.13,1/9/2024,Cryptocurrency,2/9/2024,4,Excellent,"It's okay, not the best."
10,187,Nicholas Ramos,alexadiaz@griffin.org,1121984746,1837 Sarah Courts Suite 566,West Jill,OK,53650,USA,1/10/2023,1004,Laptop,Luxora,493.26,85,2,5.28,981.24,1/10/2024,Credit Card,2/10/2024,2,Excellent,Really happy with the performance.
11,170,John Herrera,joshua76@yahoo.com,8720281686,20052 Graham Ports Suite 901,Port Alex,AR,67084,USA,1/11/2023,1001,Laptop,PrimeElectro,1056.72,184,3,169.56,3000.6,1/11/2024,Credit Card,2/11/2024,4,Poor,Overall good performance but some issues.
12,188,Brenda Adkins,hharrison@yahoo.com,1526850747,67312 Hall Forest Apt. 864,East Feliciaberg,FL,26116,USA,1/12/2023,1005,Laptop,EcoGear,81.93,31,3,5.39,240.4,1/12/2024,Cryptocurrency,2/12/2024,2,Poor,Really happy with the performance.
13,188,Lucas Smith,heather05@yahoo.com,2306401127,14111 Robert Hollow,Port Davidfort,NC,4044,USA,1/13/2023,1004,Smartphone,EcoGear,1114.41,199,3,158.17,3185.06,1/13/2024,PayPal,2/13/2024,3,Below Average,Not satisfied with the product.
14,112,James Hughes,rogerstyler@gmail.com,7124470557,0134 April Fords Suite 148,Danielborough,CA,10783,USA,1/14/2023,1005,Accessory,Luxora,1294.07,67,3,146.89,3735.32,1/14/2024,Debit Card,2/14/2024,5,Good,Overall good performance but some issues.
15,158,Kendra Sanchez,kwright@yahoo.com,2978535274,598 Thompson Ways,Lake Sandra,WA,62265,USA,1/15/2023,1005,Laptop,EcoGear,707.29,164,4,140.44,2688.72,1/15/2024,Credit Card,2/15/2024,4,Below Average,Really happy with the performance.
16,165,Matthew Harvey,laurenprice@maldonado.info,7925387471,54585 Mcdonald Place Apt. 651,Wallside,ND,64084,USA,1/16/2023,1006,Laptop,UrbanGoods,679.78,63,1,73.42,606.36,1/16/2024,Debit Card,2/16/2024,1,Below Average,Really happy with the performance.
17,139,Scott Price,katherine10@roth-morris.com,5282767259,4125 Maria Row Apt. 931,Coffeyberg,IL,61627,USA,1/17/2023,1003,Accessory,PrimeElectro,453.78,122,3,127.28,1234.06,1/17/2024,Debit Card,2/17/2024,1,Good,"It's okay, not the best."
